138,156,131,157,125,94,178,110,147,160,
156,144,99,167,131,106,194,116,190,195,
156,165,105,152,115,100,203,132,196,217,
172,152,121,168,115,119,184,129,202,182,
141,193,144,220,128,94,181,122,158,157,
144,199,150,163,115,109,187,132,199,217,
153,170,162,177,96,103,137,138,190,221,
159,183,120,154,105,106,146,150,196,201,
160,180,158,180,124,113,175,154,252,228,
122,145,178,174,124,109,190,147,191,222,
163,205,168,180,118,112,209,135,201,217,
147,171,162,167,131,109,203,135,205,215,
179,155,168,192,137,116,225,142,205,216,
182,208,172,199,134,112,134,138,188,159,
182,212,175,196,140,104,134,134,166,206,
113,202,175,183,127,103,143,175,194,138,
109,199,136,177,140,132,121,138,185,168,
112,189,130,174,168,150,140,141,182,268,
134,187,120,180,165,122,131,141,202,260,
156,193,178,179,162,122,237,150,188,262,
100,212,127,193,143,122,146,169,188,243,
157,97,159,183,171,115,121,160,202,204,
115,191,196,170,128,122,149,151,194,229,
103,156,194,171,149,103,159,154,215,200,
191,174,145,161,158,93,134,118,205,134,
160,174,206,189,140,121,134,147,188,213,
163,196,206,177,149,113,231,166,258,237,
191,203,200,186,168,103,181,150,197,271,
201,143,200,167,168,143,190,122,185,208,
175,149,187,132,171,106,121,138,193,215,
113,130,155,192,194,129,181,147,177,223,
175,133,175,202,155,106,149,135,169,228,
141,137,196,196,171,128,172,144,197,229,
106,202,203,186,140,97,112,110,185,151,
103,140,178,176,177,134,244,113,160,117,
191,192,215,183,149,84,131,144,187,174,
129,196,200,178,165,97,168,75,190,187,
81,192,184,192,174,109,171,100,181,147,
185,199,200,167,158,134,206,113,189,119,
109,183,157,171,162,134,134,100,199,169,
134,139,187,183,189,144,184,94,183,198,
198,187,209,126,99,131,182,153,188,143,
141,105,197,108,127,137,194,150,204,139,
107,177,203,196,199,112,197,141,213,243,
113,215,172,193,202,78,173,153,227,101,
172,125,151,185,187,119,204,141,172,139,
131,215,155,191,133,112,179,159,181,164,
219,121,187,205,180,151,107,156,244,183,
219,177,170,217,149,103,207,84,156,123,
134,218,209,189,180,144,194,154,191,162,
94,121,181,204,162,122,91,154,199,168,
147,118,206,220,149,103,197,150,230,114,
138,224,206,238,177,134,113,122,218,181,
219,202,212,214,178,115,182,157,191,152,
122,205,184,211,196,91,204,138,227,168,
163,193,190,211,180,97,194,122,199,226,
166,171,219,208,200,100,229,185,234,226,
160,115,167,201,133,128,216,135,196,118,
172,143,161,208,209,138,219,100,209,203,
163,199,212,188,140,131,182,129,218,204,
167,193,178,260,167,119,160,135,156,223,
157,130,176,182,174,109,172,94,195,169,
110,221,198,265,174,109,235,112,154,174,
159,115,240,256,147,100,226,138,165,208,
